Cell HMSLID	Cell line	Small Molecule HMSLID	Small Molecule	IC50	Emax	AUC	IC curve fit	r2 for IC curve	EC50 for IC curve	Einf for IC curve	Hill coeff. for IC curve	GR50	GRmax	AUC_GR	GR curve fit	r2 for GR curve	EC50 for GR curve	Einf for GR curve	Hill coeff. for GR curve
51088	184A1	10236	17-AAG	0.02611	0.082468	0.42741	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.88032	0.016154	0.34533	2.4434	0.009959	-0.97895	1.1458	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.98002	0.013489	-0.69737	2.878
51088	184A1	10238	5-FU	127.3701	0.11498	0.37693	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.97957	106.9545	0.11153	1.4447	49.8582	-0.84558	0.80756	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.97452	96.9631	-0.85272	1.4963
51088	184A1	10238	5-FU	918.7154	0.29925	0.17711	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.97207	750.4116	0.31821	5	435.6415	-0.9865	0.69481	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.90328	541.1418	-0.9787	5
51088	184A1	10239	AG1024	0.27398	0.37658	0.22361	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.98562	0.19247	0.41445	5	0.20896	0.044168	0.34461	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.98959	0.1986	0.11225	5
51088	184A1	10239	AG1024	0.68859	0.34473	0.23943	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.99439	0.23513	0.35391	1.1451	0.19642	-0.20401	0.42887	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.993	0.26948	-0.18971	1.0171
51088	184A1	10223	AG1478	11.468	0.18802	0.19208	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.90083	9.5247	0.3024	5	Inf	-1	1.0757	flat fit: x = Einf	0.53102	Inf	-1	0
51088	184A1	10240	AS-252424	9.8045	0.30631	0.13529	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.9799	7.8554	0.081207	0.79964	3.9761	-0.090718	0.20205	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.98365	7.6189	-0.3917	0.88958
51088	184A1	10056	Selumetinib	1.5828	0.4163	0.23087	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.9894	0.28987	0.4024	0.96242	0.33674	0.041931	0.37477	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.99244	0.32425	0.018023	0.97165
51088	184A1	10343	Baicalein	Inf	0.72404	0.012147	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.91383	34.4863	0.71277	2.0266	Inf	0.59169	0.024254	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.9429	36.1109	0.57212	1.9833
51088	184A1	10232	BEZ235	0.36573	0.43997	0.28991	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.97971	0.049488	0.43207	0.99801	0.063373	0.084651	0.46983	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.98116	0.054376	0.071969	1.015
