CellLine	HMSLid_CellLine	DrugName	HMSLid_Drug	GR50	GRmax	GRinf	Hill_GR	GR_AOC	GEC50	GR_r2	CtrlNDiv	BiolReplicate
184A1	51088-1	(Z)-4-Hydroxytamoxifen	10275-101-1	Inf	0.40548	0.40548	0	0.20744	Inf	0.30734	0.6985	9047.132
184A1	51088-1	17-AAG	10236-101-1	0.0092974	-0.98256	-0.69886	2.7212	1.176	0.012821	0.95385	0.5262	9047.037
184A1	51088-1	5-DFUR	10237-101-1	228.6372	-0.24043	-0.6424	0.55995	0.26424	1000	0.96967	1.3392	12509.143
184A1	51088-1	5-FU	10238-101-1	48.195	-0.84585	-0.8556	1.448	0.80937	95.971	0.9747	0.844	9047.017
184A1	51088-1	AG1024	10239-101-1	0.20895	0.044181	0.11243	5	0.34435	0.19857	0.9895	1.5027	5894.066
184A1	51088-1	AG1024	10239-101-1	0.19048	-0.20067	-0.18527	1.1224	0.43509	0.25224	0.99589	1.1612	5895.066
184A1	51088-1	AS-252424	10240-101-1	4.2204	-0.090133	-0.48565	0.82808	0.19871	9.5784	0.98429	1.5022	12509.165
184A1	51088-1	Afatinib	10133-101-2	0.022511	-0.90878	-1	0.4058	0.82835	0.3374	0.93072	1.5022	12509.165
184A1	51088-1	BEZ235	10232-101-2	0.063993	0.085909	0.073146	1.0226	0.46878	0.054822	0.98122	1.3444	12509.155
184A1	51088-1	Baicalein	10343-101-1	Inf	0.59902	0.58171	2.0246	0.023457	35.3825	0.94078	1.4431	5895.073
184A1	51088-1	Bortezomib	10241-101-1	0.037154	-0.68987	-0.67646	0.67216	0.90588	0.1327	0.95587	1.4541	5894.074
184A1	51088-1	Bortezomib	10241-101-1	0.021618	-0.8342	-0.82444	0.59055	1.0107	0.11251	0.95343	1.1218	5895.074
184A1	51088-1	Bosutinib	10189-101-2	0.45547	-0.073922	-0.026867	1.6575	0.36644	0.47009	0.94941	1.3955	12509.170
184A1	51088-1	CGC-11047	10243-999-1	242.7866	-0.9907	-1	2.2105	0.62693	399.0851	0.79956	0.6736	10002.034
184A1	51088-1	CGC-11047	10243-999-1	839.8353	-0.83978	-0.69674	5	0.25769	1000	0.88738	0.3791	7787.018
184A1	51088-1	CGC-11047	10243-999-1	5.6711	-0.99965	-1	0.43561	0.75163	70.6278	0.81735	0.5972	9047.026
184A1	51088-1	CPT-11	10246-101-1	3.4302	-0.92549	-0.92327	4.9992	0.42472	4.2287	0.99624	0.6736	10002.034
184A1	51088-1	CPT-11	10246-101-1	3.3338	-0.66938	-0.78368	1.3326	0.47894	6.7644	0.91029	0.7949	9047.121
184A1	51088-1	Carboplatin	10242-101-1	13.7287	-0.82755	-0.78175	2.8956	0.6151	19.003	0.99252	0.7195	10002.021
184A1	51088-1	Carboplatin	10242-101-1	9.563	-0.98734	-0.88996	2.4907	0.73561	14.4169	0.94392	0.6293	9047.011
184A1	51088-1	Cetuximab	80027-1	Inf	0.46519	0.46519	0	0.38384	Inf	-0.001308	0.3791	7787.018
184A1	51088-1	Cetuximab	80027-1	0.003597	-0.26046	-0.46169	0.48053	0.49175	0.014031	0.87773	0.5972	9047.026
184A1	51088-1	Cisplatin	10245-101-1	2.6147	-0.97189	-0.95592	1.773	0.63045	4.7776	0.99589	0.7195	10002.021
184A1	51088-1	Cisplatin	10245-101-1	2.8567	-0.99402	-0.83072	3.0896	0.57928	3.9215	0.98822	0.844	9047.017
