Cell HMSLID	Cell line	Small Molecule HMSLID	Small Molecule	Seeding density	Replicate	IC50	Emax	AUC	IC curve fit	r2 for IC curve	EC50 for IC curve	Einf for IC curve	Hill coeff. for IC curve	GR50	GRmax	GR_AOC	GR curve fit	r2 for GR curve	EC50 for GR curve	Einf for GR curve	Hill coeff. for GR curve
50238	Hs 578T	10146	GSK2126458	156.25	1	0.057424	0.20079	0.51559	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.9961	0.029929	0.21372	0.85575	0.0165	-0.44085	0.91428	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.99561	0.032554	-0.41452	0.88856
50238	Hs 578T	10146	GSK2126458	312.5	1	0.036298	0.16848	0.54741	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.98594	0.019513	0.21813	0.92341	0.012009	-0.49666	0.94829	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.98217	0.022718	-0.38923	0.90319
50238	Hs 578T	10146	GSK2126458	625	1	0.053244	0.19296	0.51771	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.97939	0.027766	0.21755	0.87719	Inf	1.05	0.13698	flat fit: x = Einf	-3.51E-09	Inf	1.05	0
50238	Hs 578T	10146	GSK2126458	1250	1	0.080038	0.27595	0.47486	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.98357	0.020161	0.30189	0.67145	0.024223	-0.092209	0.68024	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.98014	0.028323	-0.053664	0.65188
50238	Hs 578T	10146	GSK2126458	2500	1	0.66423	0.3827	0.35473	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.97386	0.073014	0.35996	0.57639	0.017445	-0.28889	0.80583	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.97032	0.028447	-0.23155	0.77824
50238	Hs 578T	10146	GSK2126458	5000	1	Inf	0.41354	0.27638	flat fit: x = Einf	0.39884	Inf	0.41354	0	Inf	0.94716	0.67465	flat fit: x = Einf	0.032651	Inf	0.94716	0
50238	Hs 578T	10264	Methotrexate	156.25	1	Inf	0.54194	0.26054	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.9874	0.10362	0.52456	2.4935	0.10921	0.15336	0.47262	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.98872	0.092962	0.1466	2.1544
50238	Hs 578T	10264	Methotrexate	312.5	1	Inf	0.4817	0.25527	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.96591	0.076907	0.53794	3.1099	0.10191	0.11603	0.43277	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.96482	0.080305	0.21867	2.4139
50238	Hs 578T	10264	Methotrexate	625	1	Inf	0.65328	0.21868	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.8717	0.078359	0.62753	5	Inf	1.05	0.11795	flat fit: x = Einf	1.06E-09	Inf	1.05	0
50238	Hs 578T	10264	Methotrexate	1250	1	Inf	0.65835	0.17244	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.98079	0.089515	0.67533	4.9994	Inf	0.53174	0.23108	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.98136	0.090442	0.56303	4.9999
50238	Hs 578T	10264	Methotrexate	2500	1	Inf	0.77008	0.12367	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.8802	0.10075	0.76229	5	0.11974	0.41168	0.35405	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.83561	0.091998	0.36611	5
50238	Hs 578T	10264	Methotrexate	5000	1	Inf	0.73529	0.061347	flat fit: x = Einf	0.38627	Inf	0.73529	0	0.04795	-0.54079	0.68411	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.81129	0.053929	-0.1721	2.5173
50238	Hs 578T	10102	Taxol	156.25	1	0.0019651	0.30231	0.52363	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.9739	0.0010775	0.3305	1.8003	0.0010446	-0.25597	0.91824	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.97761	0.0012573	-0.20129	1.8257
50238	Hs 578T	10102	Taxol	312.5	1	0.002137	0.28794	0.56689	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.96441	0.0010303	0.27187	1.0756	0.00081518	-0.24166	0.97335	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.96307	0.0012039	-0.27332	1.1184
50238	Hs 578T	10102	Taxol	625	1	0.0033547	0.32418	0.50793	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.97014	0.0013213	0.32216	1.1095	Inf	1.05	0.033019	flat fit: x = Einf	-0.008595	Inf	1.05	0
