Cell line	DoublingTime	Tissue	Drug	GR50 (uM)	GRmax	AOC_GR	fit r2 (GR curve)	IC50 (uM)	Emax	AUC	fit r2 (IC curve)	CDC73_del	BCL2_del	PTEN_mut
1321N1	23.0	Brain	bid1870	31.0	0.81607	0.066971	0.68658	31.0	0.73934	0.90021	0.68569	NaN	NaN	NaN
1321N1	23.0	Brain	bortezomib	0.045432	-0.6378	0.50978	0.99919	0.039072	0.0047528	0.63654	0.99806	NaN	NaN	NaN
1321N1	23.0	Brain	crizotinib	1.3442	0.7057	0.056496	0.67633	1.1942	0.60757	0.91825	0.6039	NaN	NaN	NaN
1321N1	23.0	Brain	docetaxel	0.0043623	0.0062403	0.48283	0.99431	0.0031815	0.11644	0.52438	0.99766	NaN	NaN	NaN
1321N1	23.0	Brain	doxorubicin	0.1283	-0.56468	0.79974	0.99292	0.098516	0.0084518	0.40325	0.99912	NaN	NaN	NaN
1321N1	23.0	Brain	erlotinib	31.0	0.83171	0.051555	0.84794	31.0	0.75945	0.92372	0.85596	NaN	NaN	NaN
1321N1	23.0	Brain	gdc0941	31.0	0.88022	0.045348	0.62571	31.0	0.82421	0.93129	0.65073	NaN	NaN	NaN
1321N1	23.0	Brain	gemcitabine	0.0039446	-0.24391	0.74106	0.99097	0.0030215	0.047591	0.37151	0.99504	NaN	NaN	NaN
1321N1	23.0	Brain	irinotecan	0.70552	-0.34711	0.46717	0.99695	0.58691	0.030062	0.60105	0.99716	NaN	NaN	NaN
1321N1	23.0	Brain	lapatinib	7.8687	-0.26375	0.1457	0.99277	6.5007	0.043791	0.84688	0.97783	NaN	NaN	NaN
1321N1	23.0	Brain	ms275	31.0	0.92503	0.016073	0.59926	31.0	0.88727	0.97578	0.59028	NaN	NaN	NaN
1321N1	23.0	Brain	paclitaxel	0.01647	-0.087282	0.60963	0.99734	0.012949	0.085799	0.43999	0.99628	NaN	NaN	NaN
1321N1	23.0	Brain	pd0325901	12.5504	0.45742	0.24284	0.87853	3.7707	0.37131	0.68466	0.86364	NaN	NaN	NaN
1321N1	23.0	Brain	rapamycin	31.0	0.64898	0.1879	0.91946	31.0	0.54654	0.74455	0.92083	NaN	NaN	NaN
1321N1	23.0	Brain	thapsigargin	0.023062	-0.10504	0.42071	0.98725	0.015344	0.080682	0.59989	0.98452	NaN	NaN	NaN
1321N1	23.0	Brain	vorinostat	1.995	-0.17283	0.24142	0.98843	1.3096	0.063049	0.73363	0.9625	NaN	NaN	NaN
2313287	44.0	Stomach	bid1870	31.0	0.92147	0.037399	0.62376	31.0	0.93655	0.96968	0.62454	NaN	NaN	NaN
2313287	44.0	Stomach	bortezomib	0.058689	-0.89699	0.57704	0.99936	0.063267	0.0078004	0.67903	0.99866	NaN	NaN	NaN
2313287	44.0	Stomach	crizotinib	31.0	0.95895	0.026237	-0.016695	31.0	0.96663	0.97869	0.12862	NaN	NaN	NaN
2313287	44.0	Stomach	docetaxel	0.029258	-0.52266	0.39037	0.99913	0.032566	0.095909	0.75354	0.99848	NaN	NaN	NaN
2313287	44.0	Stomach	doxorubicin	0.34284	-0.70957	0.68325	0.98393	0.44186	0.042536	0.60012	0.98324	NaN	NaN	NaN
2313287	44.0	Stomach	erlotinib	31.0	0.93204	0.045621	0.61575	31.0	0.945	0.96322	0.61896	NaN	NaN	NaN
2313287	44.0	Stomach	gdc0941	0.24685000000000001	0.55698	0.26308	0.85075	31.0	0.66382	0.805	0.86801	NaN	NaN	NaN
2313287	44.0	Stomach	gemcitabine	0.046939	-0.27567	0.40264	0.99905	0.064394	0.18976	0.72906	0.99908	NaN	NaN	NaN
2313287	44.0	Stomach	irinotecan	1.5253	-0.39539	0.37808	0.99591	1.818	0.1412	0.75368	0.99444	NaN	NaN	NaN
2313287	44.0	Stomach	lapatinib	25.5034	0.69639	0.02343	0.88407	30.5676	0.76383	0.98257	0.86596	NaN	NaN	NaN
2313287	44.0	Stomach	ms275	31.0	1.05	-0.034608	-1.8925	31.0	1.05	1.0346	-1.9291	NaN	NaN	NaN
