Cell line	DoublingTime	Tissue	Drug	GR50 (uM)	GRmax	AOC_GR	fit r2 (GR curve)	IC50 (uM)	Emax	AUC	fit r2 (IC curve)	CDC73_del	BCL2_del	PTEN_mut
A2780	20.0	Ovary	docetaxel	0.018728	0.33143	0.24783	0.99625	0.014418	0.23112	0.69237	0.99271	0	0	1
COV318	57.0	Ovary	docetaxel	0.094278	0.17508	0.19889	0.94505	0.33584	0.51081	0.87856	0.94062	1	0	0
COV504	71.0	Ovary	docetaxel	0.0040025	0.028	0.49551	0.98018	31.0	0.5092	0.74962	0.98009	1	0	0
EFO27	38.0	Ovary	docetaxel	0.0052251	0.044055	0.4481	0.9799	0.0077959	0.29181	0.65299	0.98377	0	1	0
ES2	24.0	Ovary	docetaxel	0.0097198	0.0054577	0.39374	0.99713	0.0074229	0.12706	0.60548	0.99441	0	1	0
IGROV1	33.0	Ovary	docetaxel	0.0048627	-0.0035953	0.46271	0.99599	0.0056145	0.21867	0.60787	0.99443	0	0	1
KURAMOCHI	72.0	Ovary	docetaxel	0.018256	0.0035791	0.36634	0.97393	0.2229	0.50179	0.81683	0.97393	0	1	0
MCAS	40.0	Ovary	docetaxel	0.0021623	-0.57206	0.78089	0.99822	0.0027322	0.062322	0.49659	0.99727	0	1	0
NIHOVCAR3	60.0	Ovary	docetaxel	0.0028635	-0.17808	0.57477	0.99099	0.0060386	0.344	0.67961	0.98740000000000006	0	1	0
OAW42	55.0	Ovary	docetaxel	0.031304	-0.45933	0.3187	0.99234	0.067632	0.18043	0.80927	0.99035	0	1	0
ONCODG1	30.0	Ovary	docetaxel	0.0049748	0.0060112	0.48243	0.99661	0.0051149	0.19221	0.58139	0.99542	0	0	0
OV90	53.0	Ovary	docetaxel	0.017958	0.26454	0.27637	0.97354	31.0	0.53645	0.8219	0.9725	0	1	0
OVCAR4	40.0	Ovary	docetaxel	0.0067489	0.40407	0.34945	0.98607	31.0	0.52898	0.71955	0.98773	1	1	0
OVCAR5	34.0	Ovary	docetaxel	0.0040771	0.29469	0.36668	0.99385	0.0046658	0.39816	0.68275	0.99417	0	0	0
OVCAR8	28.0	Ovary	docetaxel	0.0077606	-0.24458	0.49399	0.99694	0.0073034	0.081788	0.61273	0.99616	0	1	0
OVSAHO	57.0	Ovary	docetaxel	0.044851	0.40538	0.26888	0.97818	31.0	0.64038	0.83532	0.97692	1	0	0
OVTOKO	39.0	Ovary	docetaxel	0.024682	0.087245	0.29415	0.99549	0.041801	0.32458	0.76626	0.99276	0	0	0
PA1	23.0	Ovary	docetaxel	0.0014751	-0.36765	0.777	0.99822	0.0012769	0.0272	0.38697	0.99537	NaN	NaN	NaN
RKN	36.0	Ovary	docetaxel	0.0049483	-0.25069	0.5607	0.98739	0.0060933	0.14037	0.58446	0.99133	0	1	0
RMGI	50.0	Ovary	docetaxel	0.11531	0.41011	0.15366	0.98765	31.0	0.60457	0.89653	0.98048	1	0	0
SKOV3	43.0	Ovary	docetaxel	0.013972	0.02034	0.35322	0.9834	0.030095	0.32404	0.74016	0.98463	0	0	0
SW626	71.0	Ovary	docetaxel	0.013162	0.03611	0.35348	0.99226	31.0	0.51328	0.82393	0.98812	NaN	NaN	NaN
TOV112D	31.0	Ovary	docetaxel	0.0025609	-0.33863	0.68417	0.98913	0.0026204	0.076525	0.48333	0.99284	0	1	0
TOV21G	24.0	Ovary	docetaxel	0.0080908	0.31172	0.32317	0.98013	0.004422	0.28212	0.6452	0.98422	0	0	1
TYKNU	33.0	Ovary	docetaxel	0.006269	0.27479	0.3417	0.98777	0.0076631	0.37433	0.69065	0.98991	0	0	0
